"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2026-04-19 21:03:59","324865569","ADABNB","Market","BUY","0","30.4ADA","2026-04-19 21:03:59","30.4ADA","0.000394","0.0119776BNB","FILLED"
"2026-04-19 20:30:59","182135266","BCHBNB","Market","SELL","0","0.02BCH","2026-04-19 20:30:59","0.02BCH","0.7073","0.014146BNB","FILLED"
"2026-04-18 03:37:02","182067159","BCHBNB","Market","BUY","0","0.02BCH","2026-04-18 03:37:02","0.02BCH","0.7093","0.014186BNB","FILLED"
"2026-04-18 03:26:56","421720580","XRPBNB","Market","SELL","0","4.5XRP","2026-04-18 03:26:56","4.5XRP","0.0022945","0.01032525BNB","FILLED"
"2026-04-18 01:09:45","421701563","XRPBNB","Market","BUY","0","4.5XRP","2026-04-18 01:09:45","4.5XRP","0.0022965","0.01033425BNB","FILLED"
"2026-04-18 01:04:36","11625179782","BNBUSDT","Market","BUY","0","0.02BNB","2026-04-18 01:04:36","0.02BNB","643.78","12.8756USDT","FILLED"
"2026-04-18 00:36:39","16957405670","SOLUSDT","Market","SELL","0","0.07SOL","2026-04-18 00:36:39","0.07SOL","88.69","6.2083USDT","FILLED"
"2026-04-18 00:36:38","3499609215","TRXUSDT","Market","SELL","0","19TRX","2026-04-18 00:36:38","19TRX","0.3274","6.2206USDT","FILLED"
"2026-04-15 15:38:17","278510284","TRXBNB","Market","BUY","0","19TRX","2026-04-15 15:38:17","19TRX","0.0005298","0.0100662BNB","FILLED"
"2026-04-15 15:38:12","278510282","TRXBNB","Market","SELL","0","19TRX","2026-04-15 15:38:12","19TRX","0.0005293","0.0100567BNB","FILLED"
"2026-04-15 03:24:29","278477901","TRXBNB","Market","BUY","0","19TRX","2026-04-15 03:24:29","19TRX","0.000526","0.009994BNB","FILLED"
"2026-04-15 03:14:28","278477429","TRXBNB","Market","SELL","0","19TRX","2026-04-15 03:14:28","19TRX","0.0005267","0.0100073BNB","FILLED"
"2026-04-14 19:30:13","278462515","TRXBNB","Market","BUY","0","19TRX","2026-04-14 19:30:13","19TRX","0.0005271","0.0100149BNB","FILLED"
"2026-04-14 19:30:08","278462512","TRXBNB","Market","SELL","0","20TRX","2026-04-14 19:30:08","20TRX","0.0005266","0.010532BNB","FILLED"
"2026-04-14 05:41:36","278434108","TRXBNB","Market","BUY","0","20TRX","2026-04-14 05:41:36","20TRX","0.0005234","0.010468BNB","FILLED"
"2026-04-14 05:41:35","416300010","SOLBNB","Market","BUY","0","0.075SOL","2026-04-14 05:41:35","0.075SOL","0.1401","0.0105075BNB","FILLED"
"2026-04-14 05:31:29","181896003","BCHBNB","Market","SELL","0","0.02BCH","2026-04-14 05:31:29","0.02BCH","0.7141","0.014282BNB","FILLED"
"2026-04-14 05:20:02","181895387","BCHBNB","Market","BUY","0","0.02BCH","2026-04-14 05:20:02","0.02BCH","0.7143","0.014286BNB","FILLED"
"2026-04-14 05:19:56","181895384","BCHBNB","Market","SELL","0","0.02BCH","2026-04-14 05:19:56","0.02BCH","0.7127","0.014254BNB","FILLED"
"2026-04-14 02:59:55","181891196","BCHBNB","Market","BUY","0","0.02BCH","2026-04-14 02:59:55","0.02BCH","0.7086","0.014172BNB","FILLED"
"2026-04-14 02:15:50","11596731703","BNBUSDT","Market","BUY","0","0.02BNB","2026-04-14 02:15:50","0.02BNB","613.74","12.2748USDT","FILLED"
"2026-04-14 01:47:08","16929834470","SOLUSDT","Market","SELL","0","0.07SOL","2026-04-14 01:47:08","0.07SOL","86","6.02USDT","FILLED"
"2026-04-14 01:47:07","60474049002","BTCUSDT","Market","SELL","0","0.00008BTC","2026-04-14 01:47:07","0.00008BTC","74364.77","5.9491816USDT","FILLED"
"2026-04-14 01:42:39","60473944506","BTCUSDT","Market","BUY","0","0.00008BTC","2026-04-14 01:42:39","0.00008BTC","74286.6","5.942928USDT","FILLED"
"2026-04-05 00:39:46","60105883769","BTCUSDT","Market","SELL","0","0.00008BTC","2026-04-05 00:39:46","0.00008BTC","67258.14","5.3806512USDT","FILLED"
"2026-04-03 23:53:17","60087885908","BTCUSDT","Market","BUY","0","0.00008BTC","2026-04-03 23:53:17","0.00008BTC","66942","5.35536USDT","FILLED"
"2026-04-03 23:48:05","60087819131","BTCUSDT","Market","SELL","0","0.00009BTC","2026-04-03 23:48:05","0.00009BTC","66906.11","6.0215499USDT","FILLED"
"2026-03-29 23:02:48","59845435322","BTCUSDT","Market","BUY","0","0.00009BTC","2026-03-29 23:02:48","0.00009BTC","66053.71","5.9448339USDT","FILLED"
"2026-03-29 22:57:40","59844856077","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-29 22:57:40","0.00008BTC","65886.76","5.2709408USDT","FILLED"
"2026-03-27 03:51:59","59755780666","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-27 03:51:59","0.00008BTC","68851.72","5.5081376USDT","FILLED"
"2026-03-27 03:46:50","11480536887","BNBUSDT","Market","SELL","0","0.01BNB","2026-03-27 03:46:50","0.01BNB","628.55","6.2855USDT","FILLED"
"2026-03-20 05:45:39","228817312","FETBNB","Limit","SELL","0.0003772","27.7FET","2026-03-24 02:21:10","27.7FET","0.0003772","0.01044844BNB","FILLED"
"2026-03-20 05:45:38","228817311","FETBNB","Market","BUY","0","27.7FET","2026-03-20 05:45:38","27.7FET","0.0003781","0.01047337BNB","FILLED"
"2026-03-20 05:45:16","228817274","FETBNB","Limit","SELL","0.000376","27.9FET","2026-03-20 05:45:33","27.9FET","0.000376","0.0104904BNB","FILLED"
"2026-03-20 05:45:16","228817273","FETBNB","Market","BUY","0","27.9FET","2026-03-20 05:45:16","27.9FET","0.0003761","0.01049319BNB","FILLED"
"2026-03-20 05:41:09","228817021","FETBNB","Limit","SELL","0.0003749","27.9FET","2026-03-20 05:45:09","27.9FET","0.0003749","0.01045971BNB","FILLED"
"2026-03-20 05:41:09","228817020","FETBNB","Market","BUY","0","27.9FET","2026-03-20 05:41:09","27.9FET","0.0003756","0.01047924BNB","FILLED"
"2026-03-20 05:05:48","228814256","FETBNB","Market","BUY","0","28FET","2026-03-20 05:05:48","28FET","0.0003737","0.0104636BNB","FILLED"
"2026-03-20 05:05:48","228814257","FETBNB","Limit","SELL","0.0003736","28FET","2026-03-20 05:41:01","28FET","0.0003736","0.0104608BNB","FILLED"
"2026-03-20 05:05:25","228814223","FETBNB","Limit","SELL","0.0003725","28.1FET","2026-03-20 05:05:42","28.1FET","0.0003725","0.01046725BNB","FILLED"
"2026-03-20 05:05:25","228814222","FETBNB","Market","BUY","0","28.1FET","2026-03-20 05:05:25","28.1FET","0.0003732","0.01048692BNB","FILLED"
"2026-03-20 05:04:32","228814085","FETBNB","Limit","SELL","0.0003712","28.2FET","2026-03-20 05:05:22","28.2FET","0.0003712","0.01046784BNB","FILLED"
"2026-03-20 05:04:32","228814084","FETBNB","Market","BUY","0","28.2FET","2026-03-20 05:04:32","28.2FET","0.0003713","0.01047066BNB","FILLED"
"2026-03-20 05:04:09","228814036","FETBNB","Limit","SELL","0.0003701","28.3FET","2026-03-20 05:04:25","28.3FET","0.0003701","0.01047383BNB","FILLED"
"2026-03-20 05:04:09","228814035","FETBNB","Market","BUY","0","28.3FET","2026-03-20 05:04:09","28.3FET","0.0003706","0.01048798BNB","FILLED"
"2026-03-20 05:02:25","228813827","FETBNB","Limit","SELL","0.000369","28.3FET","2026-03-20 05:04:07","28.3FET","0.000369","0.0104427BNB","FILLED"
"2026-03-20 05:02:25","228813826","FETBNB","Market","BUY","0","28.3FET","2026-03-20 05:02:25","28.3FET","0.0003699","0.01046817BNB","FILLED"
"2026-03-18 00:08:06","228674847","FETBNB","Limit","SELL","0.0003679","28.6FET","2026-03-20 05:02:18","28.6FET","0.0003679","0.01052194BNB","FILLED"
"2026-03-18 00:08:05","228674846","FETBNB","Market","BUY","0","28.6FET","2026-03-18 00:08:05","28.6FET","0.0003666","0.01048476BNB","FILLED"
"2026-03-17 11:13:30","228646568","FETBNB","Limit","SELL","0.000365","28.8FET","2026-03-18 00:07:59","28.8FET","0.000365","0.010512BNB","FILLED"
"2026-03-17 11:13:30","228646567","FETBNB","Market","BUY","0","28.8FET","2026-03-17 11:13:30","28.8FET","0.0003637","0.01047456BNB","FILLED"
"2026-03-17 11:12:36","228646460","FETBNB","Limit","SELL","0.0003611","29FET","2026-03-17 11:13:21","29FET","0.0003611","0.0104719BNB","FILLED"
"2026-03-17 11:12:36","228646458","FETBNB","Market","BUY","0","29FET","2026-03-17 11:12:36","29FET","0.0003619","0.0104951BNB","FILLED"
"2026-03-17 09:02:13","228640121","FETBNB","Market","BUY","0","29.2FET","2026-03-17 09:02:13","29.2FET","0.0003586","0.01047112BNB","FILLED"
"2026-03-17 09:02:13","228640122","FETBNB","Limit","SELL","0.0003592","29.2FET","2026-03-17 11:12:32","29.2FET","0.0003592","0.01048864BNB","FILLED"
"2026-03-17 09:01:20","228639975","FETBNB","Limit","SELL","0.0003581","29.2FET","2026-03-17 09:02:08","29.2FET","0.0003581","0.01045652BNB","FILLED"
"2026-03-17 09:01:20","228639974","FETBNB","Market","BUY","0","29.2FET","2026-03-17 09:01:20","29.2FET","0.0003587","0.01047404BNB","FILLED"
"2026-03-17 09:01:08","228639957","FETBNB","Market","BUY","0","29.2FET","2026-03-17 09:01:08","29.2FET","0.0003587","0.01047404BNB","FILLED"
"2026-03-17 09:01:08","228639958","FETBNB","Limit","SELL","0.000357","29.2FET","2026-03-17 09:01:08","29.2FET","0.000357","0.0104244BNB","FILLED"
"2026-03-17 09:00:55","228639919","FETBNB","Limit","SELL","0.0003559","29.2FET","2026-03-17 09:00:55","29.2FET","0.0003559","0.01039228BNB","FILLED"
"2026-03-17 09:00:55","228639915","FETBNB","Market","BUY","0","29.2FET","2026-03-17 09:00:55","29.2FET","0.00035938","0.01049401BNB","FILLED"
"2026-03-17 08:59:21","228639812","FETBNB","Market","BUY","0","29.4FET","2026-03-17 08:59:21","29.4FET","0.0003571","0.01049874BNB","FILLED"
"2026-03-17 08:59:21","228639815","FETBNB","Limit","SELL","0.0003566","29.4FET","2026-03-17 09:00:46","29.4FET","0.0003566","0.01048404BNB","FILLED"
"2026-03-17 07:31:15","228633683","FETBNB","Market","BUY","0","29.4FET","2026-03-17 07:31:15","29.4FET","0.0003561","0.01046934BNB","FILLED"
"2026-03-17 07:31:15","228633684","FETBNB","Limit","SELL","0.0003555","29.4FET","2026-03-17 08:59:14","29.4FET","0.0003555","0.0104517BNB","FILLED"
"2026-03-17 07:19:08","228632823","FETBNB","Limit","SELL","0.0003544","28.8FET","2026-03-17 07:31:13","28.8FET","0.0003544","0.01020672BNB","FILLED"
"2026-03-17 05:09:58","228626284","FETBNB","Limit","SELL","0.0003646","28.8FET","2026-03-17 07:19:06","0FET","0","0BNB","CANCELED"
"2026-03-17 05:07:09","414097315","SOLBNB","Limit","SELL","0.169","0.071SOL","2026-03-17 05:07:09","0SOL","0","0BNB","NEW"
"2026-03-17 05:06:10","228626072","FETBNB","Market","BUY","0","28.8FET","2026-03-17 05:06:10","28.8FET","0.0003466","0.00998208BNB","FILLED"
"2026-03-17 05:06:07","228626064","FETBNB","Limit","SELL","0.0003438","29.2FET","2026-03-17 05:06:07","29.2FET","0.0003438","0.01003896BNB","FILLED"
"2026-03-17 04:50:03","414096467","SOLBNB","Market","BUY","0","0.071SOL","2026-03-17 04:50:03","0.071SOL","0.139","0.009869BNB","FILLED"
"2026-03-17 04:50:02","228625034","FETBNB","Market","BUY","0","29.2FET","2026-03-17 04:50:02","29.2FET","0.000342","0.0099864BNB","FILLED"
"2026-03-17 04:49:18","414096424","SOLBNB","Market","SELL","0","0.109SOL","2026-03-17 04:49:18","0.109SOL","0.1388","0.0151292BNB","FILLED"
"2026-03-16 21:38:09","59259563544","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-16 21:38:09","0.00008BTC","74540.02","5.9632016USDT","FILLED"
"2026-03-16 21:38:04","59259554848","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-16 21:38:04","0.00008BTC","74545.05","5.963604USDT","FILLED"
"2026-03-15 23:17:11","59201167589","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-15 23:17:11","0.00008BTC","73021.12","5.8416896USDT","FILLED"
"2026-03-15 23:17:06","59201161641","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-15 23:17:06","0.00008BTC","73051.54","5.8441232USDT","FILLED"
"2026-03-15 11:22:44","59183863750","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-15 11:22:44","0.00008BTC","71750.52","5.7400416USDT","FILLED"
"2026-03-15 11:17:35","59183791945","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-15 11:17:35","0.00008BTC","71779.43","5.7423544USDT","FILLED"
"2026-03-15 10:06:41","59182725666","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-15 10:06:41","0.00008BTC","71730.01","5.7384008USDT","FILLED"
"2026-03-15 10:01:32","59182630571","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-15 10:01:32","0.00008BTC","71820.27","5.7456216USDT","FILLED"
"2026-03-15 06:08:55","59178895805","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-15 06:08:55","0.00008BTC","71557.35","5.724588USDT","FILLED"
"2026-03-15 06:03:47","59178822034","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-15 06:03:47","0.00008BTC","71577.36","5.7261888USDT","FILLED"
"2026-03-15 05:55:25","59178702644","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-15 05:55:25","0.00008BTC","71510.51","5.7208408USDT","FILLED"
"2026-03-15 05:40:21","59178442013","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-15 05:40:21","0.00008BTC","71698.38","5.7358704USDT","FILLED"
"2026-03-15 02:51:14","59175148487","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-15 02:51:14","0.00008BTC","71457.69","5.7166152USDT","FILLED"
"2026-03-15 02:51:09","59175142347","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-15 02:51:09","0.00008BTC","71466.59","5.7173272USDT","FILLED"
"2026-03-14 05:24:38","59155504036","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-14 05:24:38","0.00008BTC","71151.3","5.692104USDT","FILLED"
"2026-03-14 05:24:33","59155503622","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-14 05:24:33","0.00008BTC","71151.29","5.6921032USDT","FILLED"
"2026-03-14 01:58:10","59152047113","BTCUSDT","Market","BUY","0","0.00008BTC","2026-03-14 01:58:10","0.00008BTC","70860.69","5.6688552USDT","FILLED"
"2026-03-14 01:43:06","59151793197","BTCUSDT","Market","SELL","0","0.00008BTC","2026-03-14 01:43:06","0.00008BTC","70783.65","5.662692USDT","FILLED"
